name,term,count
Social Sciences,16F,26649
Social Sciences,17F,26593
Social Sciences,17W,26473
Social Sciences,18W,26045
Social Sciences,19F,25887
Social Sciences,18F,25870
Social Sciences,19W,25848
Social Sciences,20W,25779
Social Sciences,14F,25280
Social Sciences,15F,25128
Social Sciences,17S,25061
Social Sciences,18S,25033
Physical Sciences,16F,24469
Physical Sciences,18F,24355
Physical Sciences,20W,24251
Social Sciences,19S,24131
Social Sciences,15W,24120
Social Sciences,16W,24103
Physical Sciences,17W,24101
Physical Sciences,19F,24026
Physical Sciences,19W,23824
Physical Sciences,17F,23803
Social Sciences,20S,23776
Social Sciences,16S,23752
Social Sciences,15S,23212
Physical Sciences,14F,23141
Physical Sciences,18W,23119
Physical Sciences,16W,23025
Social Sciences,12F,23019
Social Sciences,13F,23015
Physical Sciences,14W,22998
Social Sciences,14S,22975
Social Sciences,14W,22798
Physical Sciences,15F,22750
Physical Sciences,15W,22611
Social Sciences,09W,22579
Social Sciences,08W,22161
Social Sciences,11F,22132
Physical Sciences,13F,22055
Social Sciences,10W,21872
Social Sciences,08F,21706
Social Sciences,10F,21685
Physical Sciences,17S,21679
Social Sciences,07W,21644
Physical Sciences,19S,21620
Social Sciences,05W,21432
Social Sciences,01W,21411
Social Sciences,09S,21384
Social Sciences,10S,21353
Physical Sciences,18S,21288
Social Sciences,08S,21192
Social Sciences,09F,21190
Social Sciences,13W,21177
Social Sciences,12W,21062
Physical Sciences,20S,20985
Physical Sciences,13W,20806
Social Sciences,99W,20790
Social Sciences,11W,20734
Social Sciences,00S,20644
Social Sciences,04W,20632
Social Sciences,13S,20606
Social Sciences,99S,20596
Social Sciences,05S,20556
Social Sciences,06F,20508
Social Sciences,12S,20439
Social Sciences,07S,20425
Physical Sciences,12F,20380
Physical Sciences,16S,20371
Social Sciences,99F,20339
Social Sciences,07F,20301
Social Sciences,03W,20211
Physical Sciences,15S,20044
Social Sciences,03S,20011
Social Sciences,02W,19976
Social Sciences,06S,19963
Social Sciences,00F,19940
Social Sciences,04F,19916
Social Sciences,04S,19904
Physical Sciences,11F,19876
Physical Sciences,12W,19834
Physical Sciences,14S,19821
Social Sciences,02S,19629
Social Sciences,01S,19579
Social Sciences,03F,19172
Social Sciences,02F,19141
Life Sciences,20W,19027
Social Sciences,06W,18898
Life Sciences,18F,18865
Life Sciences,18W,18852
Social Sciences,01F,18798
Life Sciences,19F,18640
Humanities,15F,18577
Social Sciences,05F,18524
Humanities,14F,18524
Humanities,18F,18513
Physical Sciences,11W,18209
Life Sciences,19W,18075
Humanities,13F,18060
Physical Sciences,09F,18016
Humanities,16F,17989
Physical Sciences,10F,17970
Physical Sciences,08F,17919
Life Sciences,17F,17802
Humanities,19F,17757
Physical Sciences,13S,17739
Social Sciences,00W,17650
Humanities,17F,17595
Humanities,16W,17387
Life Sciences,20S,17348
Humanities,14W,17326
Humanities,11F,17313
Life Sciences,19S,17301
Humanities,19W,17301
Humanities,20W,17251
Physical Sciences,10W,17247
Humanities,12W,17200
Life Sciences,18S,17168
Humanities,17W,17127
Humanities,12F,17089
Physical Sciences,12S,17008
Humanities,99F,16779
Humanities,15W,16720
Humanities,13W,16692
Life Sciences,17W,16671
Physical Sciences,07F,16518
Physical Sciences,09W,16434
Humanities,13S,16398
Humanities,19S,16397
Life Sciences,16F,16293
Life Sciences,17S,16282
Physical Sciences,05F,16179
Humanities,14S,16128
Humanities,18W,16106
Physical Sciences,04F,16093
Humanities,99W,16071
Physical Sciences,06F,16058
Humanities,18S,15999
Humanities,17S,15964
Humanities,20S,15933
Physical Sciences,08W,15867
Humanities,01F,15859
Humanities,01W,15822
Humanities,16S,15808
Humanities,02F,15799
Physical Sciences,01W,15754
Humanities,11W,15736
Physical Sciences,10S,15712
Humanities,15S,15687
Physical Sciences,00W,15686
Humanities,10W,15655
Humanities,10F,15651
