name,term,count
Management,13F,8592
Mathematics,16F,8386
Management,19F,8275
Management,09F,8264
Mathematics,14F,8205
Management,12F,8200
Chemistry and Biochemistry,17W,8089
Mathematics,13F,8079
Management,17F,8066
Mathematics,15F,8042
Management,10F,7963
Management,08F,7959
Mathematics,18F,7898
Management,18F,7882
Management,16F,7838
Mathematics,17F,7832
Chemistry and Biochemistry,19W,7759
Mathematics,12F,7753
Management,17W,7692
Mathematics,19F,7654
Chemistry and Biochemistry,20W,7620
Management,19W,7602
Chemistry and Biochemistry,18F,7599
Management,11F,7547
Chemistry and Biochemistry,14W,7529
Chemistry and Biochemistry,18W,7480
Chemistry and Biochemistry,16F,7465
Chemistry and Biochemistry,19F,7454
Chemistry and Biochemistry,13F,7397
Chemistry and Biochemistry,15W,7382
Chemistry and Biochemistry,17F,7362
Mathematics,20W,7356
Management,20S,7326
Management,14F,7275
Chemistry and Biochemistry,16W,7273
Management,15F,7229
Management,07F,7204
Mathematics,19W,7189
Mathematics,17W,7173
Psychology,19S,7171
Mathematics,16W,7134
Mathematics,15W,7130
Chemistry and Biochemistry,11F,7097
Management,16W,7039
Mathematics,14W,7029
Management,20W,6991
Psychology,20S,6953
Mathematics,13W,6947
Chemistry and Biochemistry,13W,6943
Psychology,18F,6923
Management,18W,6905
Mathematics,18W,6853
Management,14W,6844
Psychology,20W,6833
Management,10W,6833
Management,19S,6815
Chemistry and Biochemistry,17S,6805
Psychology,04F,6790
Chemistry and Biochemistry,15F,6780
Management,06F,6779
Chemistry and Biochemistry,14F,6769
Management,17S,6754
Chemistry and Biochemistry,12W,6747
Management,14S,6687
Management,13W,6675
Psychology,18W,6624
Mathematics,11F,6604
Chemistry and Biochemistry,08F,6599
Chemistry and Biochemistry,11W,6578
Chemistry and Biochemistry,19S,6566
Management,16S,6527
Chemistry and Biochemistry,09F,6502
Psychology,15S,6501
Chemistry and Biochemistry,12F,6468
Chemistry and Biochemistry,10F,6466
Chemistry and Biochemistry,10W,6456
Mathematics,12W,6453
Psychology,17W,6452
Psychology,19F,6451
Mathematics,99F,6447
Management,09W,6397
Management,15S,6370
Psychology,05F,6366
Psychology,16F,6325
Psychology,19W,6321
Psychology,18S,6320
Chemistry and Biochemistry,18S,6300
Management,10S,6299
Management,11W,6289
Management,08W,6265
Chemistry and Biochemistry,16S,6227
Management,13S,6207
Management,04F,6206
Management,18S,6203
Psychology,15W,6203
Psychology,16S,6192
Psychology,17S,6181
Chemistry and Biochemistry,14S,6156
Psychology,03F,6151
Management,15W,6146
Mathematics,19S,6114
Management,12S,6098
Psychology,13S,6097
Psychology,17F,6087
Psychology,14W,6078
Psychology,04S,6056
Mathematics,17S,6047
Psychology,00F,6037
Psychology,07F,6034
Management,05F,6018
Mathematics,20S,6004
Psychology,02W,6002
Mathematics,01F,5978
Mathematics,00F,5973
Management,09S,5937
Psychology,02S,5929
Mathematics,15S,5926
Management,07W,5921
Mathematics,08F,5916
Psychology,15F,5912
Psychology,05S,5906
Mathematics,18S,5900
Mathematics,16S,5900
Psychology,14S,5898
Chemistry and Biochemistry,20S,5893
Psychology,06F,5881
Mathematics,14S,5873
Chemistry and Biochemistry,15S,5863
Chemistry and Biochemistry,05F,5838
Psychology,16W,5838
Psychology,03W,5793
Mathematics,99W,5791
Mathematics,01W,5771
Chemistry and Biochemistry,03W,5766
Chemistry and Biochemistry,13S,5758
Psychology,99F,5745
Psychology,13W,5725
Psychology,14F,5720
Chemistry and Biochemistry,12S,5717
Psychology,13F,5694
Psychology,03S,5679
Mathematics,10F,5676
Psychology,10W,5669
Psychology,05W,5661
Mathematics,00W,5660
Chemistry and Biochemistry,03F,5660
Mathematics,09F,5651
Psychology,06W,5651
Psychology,99W,5627
Psychology,02F,5613
Chemistry and Biochemistry,00W,5611
Psychology,12F,5552
Psychology,12W,5538
Psychology,11F,5528
Psychology,07W,5525
Psychology,00S,5506
Management,08S,5489
Mathematics,07F,5483
Mathematics,11W,5483
Psychology,01F,5455
Chemistry and Biochemistry,04F,5437
Psychology,04W,5436
Psychology,99S,5423
Chemistry and Biochemistry,01W,5422
Psychology,01W,5409
Chemistry and Biochemistry,10S,5401
Psychology,09F,5390
Chemistry and Biochemistry,04W,5357
Chemistry and Biochemistry,07F,5346
Management,07S,5333
Mathematics,02F,5324
Chemistry and Biochemistry,05W,5317
Psychology,12S,5299
Psychology,07S,5272
Psychology,11W,5254
Mathematics,06F,5251
Management,05W,5234
Mathematics,02W,5230
Chemistry and Biochemistry,09W,5228
Management,06W,5214
Psychology,08F,5204
Psychology,09W,5203
Mathematics,09W,5182
Chemistry and Biochemistry,08W,5181
Psychology,08W,5173
Psychology,09S,5168
Mathematics,13S,5164
Psychology,06S,5155
Chemistry and Biochemistry,08S,5126
Chemistry and Biochemistry,02W,5123
Psychology,00W,5102
Mathematics,10W,5059
Chemistry and Biochemistry,09S,5043
Chemistry and Biochemistry,07S,5019
Psychology,10F,4998
Management,12W,4991
Chemistry and Biochemistry,06S,4933
Mathematics,05F,4929
Chemistry and Biochemistry,01F,4925
Mathematics,08W,4847
Mathematics,07W,4844
Management,06S,4821
Mathematics,04F,4810
Chemistry and Biochemistry,06F,4808
Chemistry and Biochemistry,02F,4801
Psychology,10S,4799
Psychology,01S,4789
Management,04S,4760
Mathematics,12S,4753
Chemistry and Biochemistry,03S,4727
Management,05S,4719
Chemistry and Biochemistry,07W,4689
Mathematics,03F,4688
Chemistry and Biochemistry,05S,4658
Chemistry and Biochemistry,06W,4652
Management,03S,4579
Mathematics,00S,4535
Chemistry and Biochemistry,99F,4510
Mathematics,99S,4507
Mathematics,04W,4506
Mathematics,01S,4501
Psychology,08S,4466
Chemistry and Biochemistry,02S,4452
Chemistry and Biochemistry,01S,4428
Management,99F,4423
Management,00W,4370
Management,01S,4345
Management,02S,4316
Management,99S,4274
Mathematics,10S,4247
Mathematics,06W,4246
Management,99W,4219
Chemistry and Biochemistry,00F,4214
Mathematics,05W,4173
Mathematics,03W,4150
Management,00S,4062
Mathematics,02S,4021
Management,03F,3955
Mathematics,09S,3955
Mathematics,08S,3817
Mathematics,07S,3778
Chemistry and Biochemistry,99W,3727
Mathematics,04S,3683
Mathematics,03S,3652
Chemistry and Biochemistry,00S,3563
Management,02F,3388
Chemistry and Biochemistry,99S,3381
