name,term,count
Psychology,19S,338
Psychology,20W,329
Psychology,03W,327
Psychology,17S,313
Psychology,17W,312
Psychology,02S,311
Psychology,16S,310
Psychology,18S,308
Psychology,19W,301
Psychology,13S,301
Psychology,05W,296
Psychology,10S,293
Psychology,02W,293
Psychology,16W,292
Psychology,15W,291
English,04S,290
Psychology,16F,290
Chemistry and Biochemistry,04W,290
Psychology,18W,289
Chemistry and Biochemistry,03F,288
Psychology,09W,288
Psychology,15S,288
Psychology,18F,287
Psychology,14W,287
Psychology,19F,287
Psychology,12S,286
Management,12W,285
Psychology,09S,284
Psychology,10W,283
Psychology,13W,282
Psychology,03S,281
Psychology,13F,281
Psychology,12W,279
Psychology,14S,278
Psychology,05F,276
Psychology,07S,275
Psychology,06S,275
Psychology,05S,274
Psychology,04F,272
Psychology,07W,270
English,02W,268
Psychology,08W,268
English,02S,268
Psychology,12F,267
Psychology,15F,265
Psychology,11W,265
Psychology,06W,264
Management,17W,264
English,04W,263
English,99S,263
English,00S,262
English,99W,262
Music,20W,262
Music,19F,261
English,00W,261
English,01W,260
English,99F,259
Psychology,14F,259
English,03W,258
Psychology,11F,258
Psychology,17F,258
Psychology,09F,257
English,03F,256
English,03S,255
English,02F,255
Psychology,06F,254
English,01S,253
Management,13W,253
Psychology,08F,252
Management,14F,252
Music,20S,251
Psychology,08S,248
Management,14W,247
History,05W,247
Psychology,02F,247
English,01F,247
English,00F,245
Chemistry and Biochemistry,03W,244
Management,13F,244
Management,19W,244
Chemistry and Biochemistry,20W,243
Psychology,10F,242
Management,12F,241
Management,10W,241
Psychology,01S,241
Chemistry and Biochemistry,00W,239
Chemistry and Biochemistry,02W,238
Chemistry and Biochemistry,01W,238
Psychology,01F,237
Chemistry and Biochemistry,19W,236
Psychology,07F,235
Management,18W,235
Chemistry and Biochemistry,02F,235
Chemistry and Biochemistry,00S,234
Music,12F,234
Psychology,01W,234
Music,11F,233
Management,16W,233
Chemistry and Biochemistry,00F,232
Psychology,04W,231
Chemistry and Biochemistry,18W,231
Chemistry and Biochemistry,01F,230
Chemistry and Biochemistry,01S,230
Chemistry and Biochemistry,19F,229
Chemistry and Biochemistry,03S,229
Management,16F,228
Psychology,00F,228
Music,16S,227
Management,11F,226
Music,10F,226
Music,13F,226
Chemistry and Biochemistry,17W,226
Music,17W,226
Psychology,00S,225
Psychology,20S,224
Chemistry and Biochemistry,17F,224
Music,16W,224
Music,15W,223
Music,17S,223
Music,12W,222
Chemistry and Biochemistry,02S,222
Management,18F,222
Psychology,99S,222
Chemistry and Biochemistry,19S,221
Music,15F,221
Music,11W,221
Psychology,99W,220
Management,15W,219
Music,15S,219
Management,17F,219
Chemistry and Biochemistry,18F,219
Physics and Astronomy,08W,218
Chemistry and Biochemistry,18S,218
Music,16F,218
Psychology,04S,217
Physics and Astronomy,05W,216
Chemistry and Biochemistry,16F,216
Music,14W,216
History,05S,216
Chemistry and Biochemistry,16W,215
Physics and Astronomy,18W,215
Physics and Astronomy,19W,215
Music,17F,215
Psychology,00W,214
Music,13W,214
Music,13S,213
Physics and Astronomy,14W,213
Physics and Astronomy,06W,213
Chemistry and Biochemistry,16S,213
Music,14F,213
Physics and Astronomy,15W,213
Physics and Astronomy,07W,212
Music,14S,212
Management,09F,212
Chemistry and Biochemistry,17S,212
Chemistry and Biochemistry,15W,212
Theater,10W,210
