name,term,count
Psychology,19S,286
Psychology,20W,272
Psychology,16S,270
Psychology,13S,264
Psychology,15S,263
Psychology,17S,261
Psychology,19W,261
Psychology,10W,261
Psychology,18S,261
Psychology,10S,260
Psychology,09W,259
Psychology,14W,256
Psychology,16W,253
Psychology,18F,253
Psychology,12S,251
Psychology,09S,250
Psychology,14S,250
Psychology,16F,249
Psychology,13W,248
Psychology,15W,247
Psychology,18W,247
Psychology,17W,247
Psychology,19F,244
Psychology,13F,241
Psychology,06W,237
Psychology,07S,237
Psychology,12F,237
Management,17W,237
Psychology,12W,236
Psychology,08W,236
Management,19W,236
Management,13W,235
Psychology,15F,234
Psychology,05F,234
Psychology,06S,234
Psychology,11W,234
Psychology,05S,232
Psychology,07W,231
Psychology,08S,231
Psychology,11F,230
Psychology,09F,229
Psychology,08F,228
Psychology,05W,228
Psychology,17F,224
Management,13F,223
Psychology,14F,222
Management,18W,221
Management,16W,219
Management,18F,218
Management,12F,216
Psychology,04F,214
Psychology,10F,213
Psychology,06F,210
Management,14W,210
Psychology,07F,208
Management,11F,206
Management,17F,205
Management,16F,204
Management,10W,202
Management,09F,200
Management,15W,198
Management,14F,195
Management,10F,193
Psychology,04W,191
Management,09W,188
Psychology,02S,185
Management,11W,185
Management,10S,183
Psychology,03W,183
Management,12W,183
Psychology,04S,182
Management,13S,182
Management,19S,181
Management,15F,178
Psychology,03S,178
Management,12S,177
Music,20W,177
Management,08W,175
Management,19F,174
Management,20S,174
Psychology,02W,173
Music,16S,171
Management,07W,170
Music,17W,170
Management,08F,170
Music,17S,169
Music,16F,168
Music,10F,167
Music,11F,167
Music,11W,166
Music,15S,166
Music,16W,165
Management,09S,164
Music,12W,164
Management,17S,163
Music,13S,161
Music,19S,161
Music,19F,161
Chemistry and Biochemistry,18W,161
Chemistry and Biochemistry,20W,160
Psychology,03F,160
Music,15W,159
Music,12S,159
Music,10W,158
Management,05W,158
Management,20W,158
Chemistry and Biochemistry,17W,158
Music,09W,157
Music,19W,157
Management,18S,157
Music,10S,157
Management,14S,156
Management,16S,156
Music,07F,155
Music,13W,155
Music,18F,155
Music,14F,155
Music,14W,155
Management,15S,155
Music,13F,155
Music,12F,154
Music,09F,154
Music,18S,153
Management,08S,153
Music,08F,153
Management,06W,152
Management,07F,152
Chemistry and Biochemistry,19W,152
Chemistry and Biochemistry,16F,151
Music,15F,151
Music,05W,151
Music,18W,150
Music,17F,150
Chemistry and Biochemistry,17F,149
Music,07W,149
Music,07S,149
Management,06F,148
Music,06F,147
Management,04F,147
Chemistry and Biochemistry,18F,147
Music,08W,147
Music,14S,147
Chemistry and Biochemistry,16W,146
Management,05F,146
Chemistry and Biochemistry,16S,146
Chemistry and Biochemistry,19S,145
Chemistry and Biochemistry,03F,145
Psychology,02F,145
Music,08S,144
Chemistry and Biochemistry,04W,144
Chemistry and Biochemistry,19F,143
Music,05F,142
Chemistry and Biochemistry,08W,142
Chemistry and Biochemistry,15F,142
Chemistry and Biochemistry,12W,142
Chemistry and Biochemistry,05W,142
Chemistry and Biochemistry,15W,142
Psychology,01S,142
Chemistry and Biochemistry,13S,140
Chemistry and Biochemistry,18S,140
Psychology,99S,140
Chemistry and Biochemistry,05S,139
Music,01F,139
Music,04F,139
Music,09S,139
Psychology,01W,139
Music,05S,139
Chemistry and Biochemistry,14S,139
Music,06W,139
Music,02W,138
Chemistry and Biochemistry,12S,138
Music,04W,137
Chemistry and Biochemistry,17S,137
Chemistry and Biochemistry,04F,136
Chemistry and Biochemistry,11F,136
Music,06S,136
Music,01W,135
Chemistry and Biochemistry,10W,135
Chemistry and Biochemistry,06S,135
Management,07S,135
Psychology,00S,134
Chemistry and Biochemistry,15S,134
Music,03W,134
Music,04S,134
Music,02F,134
Music,99S,134
Music,01S,134
Music,99W,133
Chemistry and Biochemistry,07W,133
Chemistry and Biochemistry,14W,133
Music,00F,133
Music,00S,133
Music,00W,133
Music,03F,133
Chemistry and Biochemistry,07F,132
Chemistry and Biochemistry,07S,132
Chemistry and Biochemistry,09F,132
Psychology,01F,132
Chemistry and Biochemistry,13F,132
Music,02S,132
Music,03S,131
Chemistry and Biochemistry,08F,131
Chemistry and Biochemistry,06W,131
Chemistry and Biochemistry,08S,131
Chemistry and Biochemistry,05F,131
Chemistry and Biochemistry,10S,130
Psychology,00F,130
Music,99F,130
Chemistry and Biochemistry,09S,130
Chemistry and Biochemistry,11W,129
Management,99W,129
Psychology,99W,128
Chemistry and Biochemistry,14F,127
Chemistry and Biochemistry,12F,126
Chemistry and Biochemistry,13W,126
Chemistry and Biochemistry,10F,125
Chemistry and Biochemistry,03W,125
Management,04S,123
Chemistry and Biochemistry,06F,123
Management,03S,122
Psychology,00W,122
Chemistry and Biochemistry,09W,122
Chemistry and Biochemistry,02F,120
Chemistry and Biochemistry,02W,117
Management,05S,117
Management,06S,115
Psychology,20S,115
Chemistry and Biochemistry,01W,115
Management,02S,115
Management,99S,114
Chemistry and Biochemistry,03S,114
Chemistry and Biochemistry,04S,113
Chemistry and Biochemistry,00W,112
Chemistry and Biochemistry,01S,112
Chemistry and Biochemistry,02S,111
Psychology,99F,111
Chemistry and Biochemistry,01F,111
Management,01S,108
Chemistry and Biochemistry,00S,104
Chemistry and Biochemistry,00F,104
Music,20S,102
Management,00W,101
Management,00S,99
Chemistry and Biochemistry,20S,91
Management,04W,90
Management,99F,88
Management,03F,87
Management,02F,81
Management,02W,81
Management,03W,81
Management,01W,77
Chemistry and Biochemistry,99F,74
Chemistry and Biochemistry,99W,68
Chemistry and Biochemistry,99S,64
Management,00F,57
Management,01F,53
