term,count
99W,0
99S,0
99F,0
00W,0
00S,0
01S,33461
01W,33010
00F,36890
02S,34108
02W,33629
01F,37494
03S,34165
03W,33630
02F,37599
04S,34351
04W,34083
03F,38598
05S,33620
05W,33388
04F,37563
06S,33167
06W,32837
05F,37221
07S,34280
07W,33712
06F,38218
08S,35074
08W,34522
07F,38896
09S,35798
09W,35295
08F,39650
10S,35790
10W,35281
09F,39984
11S,35450
11W,35018
10F,39593
12S,36566
12W,36168
11F,40675
13S,37247
13W,36766
12F,41341
14S,38082
14W,37449
13F,42190
15S,38849
15W,38416
14F,43239
16S,39200
16W,38620
15F,43301
17S,40689
17W,40136
16F,44947
18S,41202
18W,40701
17F,45428
19S,41569
19W,41058
18F,45930
20W,40974
19F,45742
