section_id,enrollment_count,created_at
5859557,0,2019-09-12T00:00:08.97517+00:00
5866094,7,2019-09-12T00:00:09.460448+00:00
5859494,0,2019-09-12T00:00:09.63732+00:00
5861381,0,2019-09-12T00:00:09.638285+00:00
5860952,11,2019-09-12T00:00:09.639069+00:00
5860587,5,2019-09-12T00:00:09.639787+00:00
5867611,25,2019-09-12T00:00:09.640504+00:00
5865808,40,2019-09-12T00:00:09.75873+00:00
5859417,0,2019-09-12T00:00:09.759716+00:00
5858284,20,2019-09-12T00:00:09.760479+00:00
5859687,8,2019-09-12T00:00:09.761223+00:00
5863357,0,2019-09-12T00:00:09.761927+00:00
5860776,33,2019-09-12T00:00:09.762848+00:00
5867183,4,2019-09-12T00:00:09.763563+00:00
5859422,25,2019-09-12T00:00:09.764259+00:00
5859588,6,2019-09-12T00:00:09.764961+00:00
5868165,0,2019-09-12T00:00:09.816072+00:00
5862249,91,2019-09-12T00:00:09.81702+00:00
5859695,13,2019-09-12T00:00:09.817651+00:00
5867662,15,2019-09-12T00:00:09.835005+00:00
5862194,5,2019-09-12T00:00:10.017919+00:00
5861848,96,2019-09-12T00:00:10.022547+00:00
5859738,40,2019-09-12T00:00:10.022775+00:00
5860928,63,2019-09-12T00:00:10.023511+00:00
5865667,2,2019-09-12T00:00:10.024256+00:00
5859699,8,2019-09-12T00:00:10.024989+00:00
5861027,0,2019-09-12T00:00:10.119919+00:00
5866941,4,2019-09-12T00:00:10.18118+00:00
5860564,246,2019-09-12T00:00:10.182194+00:00
5864752,0,2019-09-12T00:00:10.182984+00:00
5866084,62,2019-09-12T00:00:10.319251+00:00
5863303,3,2019-09-12T00:00:10.319591+00:00
5864696,5,2019-09-12T00:00:10.378578+00:00
5866947,0,2019-09-12T00:00:10.380774+00:00
5865869,11,2019-09-12T00:00:10.695441+00:00
5866065,20,2019-09-12T00:00:10.696837+00:00
5863194,40,2019-09-12T00:00:10.69792+00:00
5864783,0,2019-09-12T00:00:10.795926+00:00
5861016,108,2019-09-12T00:00:10.814956+00:00
5865386,43,2019-09-12T00:00:10.814987+00:00
5858656,0,2019-09-12T00:00:10.816457+00:00
5860560,0,2019-09-12T00:00:10.819511+00:00
5859554,1,2019-09-12T00:00:10.820252+00:00
5866077,5,2019-09-12T00:00:10.820976+00:00
5859587,26,2019-09-12T00:00:10.82202+00:00
5867735,40,2019-09-12T00:00:10.822731+00:00
5865831,7,2019-09-12T00:00:10.822844+00:00
