id,term,instructors
2426,20W,"[""Rimoin, A.W.""]"
2519,20W,"[""Subrahmanyam, S.""]"
1430,20W,"[""Fong, K.N.""]"
3536219,20W,"[""Von Glahn, R.""]"
4475,20W,"[""Holten, C.""]"
51,20W,"[""Brannon, T.N.""]"
491,20W,"[""Gelbart, W.M.""]"
535,20W,"[""No instructors""]"
1042,20W,"[""Halperin, E.""]"
4678,20W,"[""Wu, G.""]"
4190,20W,"[""Neuhauser, D.""]"
3227,20W,"[""Kim, S.""]"
4455,20W,"[""Hsu, W."",""Sayre, J.""]"
3347454,20W,"[""Hoffmann, A.""]"
3643418,20W,"[""Subrahmanyam, S.""]"
1471,20W,"[""No instructors""]"
1071,20W,"[""Carpenter, C.L.""]"
3694,20W,"[""Suffet, I.H.""]"
2290,20W,"[""Nafarrate Errasti,"",""Tobin, S.C.""]"
2335,20W,"[""Payne, J.K.""]"
1910,20W,"[""Mitchell, J.L.""]"
5882040,20S,"[""No instructors""]"
5884463,20S,"[""Cho, S.""]"
5882849,20S,"[""No instructors""]"
5878927,20S,"[""Reynolds, J.L.""]"
5880867,20S,"[""Bosch, S.F.""]"
5886605,20S,"[""Mayorga, O.J."",""Ortiz, V.""]"
5882465,20S,"[""Park, J.S.""]"
5884177,20S,"[""Wake, T.A.""]"
5887235,20S,"[""Baugh, D.A.""]"
5882853,20S,"[""Rostamian, F.D.""]"
5882014,20S,"[""Huang, G.J.""]"
5878671,20S,"[""Reynolds, T.C.""]"
5886924,20S,"[""No instructors""]"
5886423,20S,"[""Hassnaoui, A."",""Burdorff, S.F.""]"
5884205,20S,"[""The Staff""]"
5884413,20S,"[""Wertlieb, N.J.""]"
5887054,20S,"[""Ribet, E.R."",""Ortiz, V.""]"
5884393,20S,"[""Looby, C.J.""]"
5883208,20S,"[""Macias, R.F.""]"
10586006,20S,"[""Hinojosa-Ojeda, R.""]"
5883204,20S,"[""Johns, L.N.""]"
5881256,20S,"[""Caruso, E.M.""]"
5881372,20S,"[""No instructors""]"
5886719,20S,"[""Calderon, H.V.""]"
5883411,20S,"[""Greenberg, M.D.""]"
5880476,20S,"[""Ghanem, A."",""Rensel, M.A.""]"
5886452,20S,"[""Chen, J.""]"
5884417,20S,"[""Edgerton, V.R.""]"
5886934,20S,"[""Iglehart, A.P.""]"
5881115,20S,"[""Zirulnik, M.A.""]"
5879204,20S,"[""Watkins, S.J.""]"
5881783,20S,"[""Mccann, R.M.""]"
5885558,20S,"[""Cheng, G.C.""]"
5880634,20S,"[""No instructors""]"
5879306,20S,"[""Abe, H.""]"
5883762,20S,"[""Horowitz, C."",""Kaur, H.""]"
5883781,20S,"[""Kruger, B.""]"
5885438,20S,"[""Miceli, M.C.""]"
5881618,20S,"[""The Staff""]"
5879728,20S,"[""Park, K.R.""]"
5884147,20S,"[""Kang, Z.""]"
5887359,20S,"[""Chanfreau, G.""]"
5880771,20S,"[""Nespoli, M."",""Lavagnino, C.G.""]"
5886449,20S,"[""Persaud, D.L."",""Burdorff, S.F.""]"
5886612,20S,"[""An, J.Y.""]"
5888494,20S,"[""Lohmueller, K.E.""]"
5882334,20S,"[""Sakakibara, M.""]"
5880367,20S,"[""Cho, M.A.""]"
5885832,20S,"[""Convery, P.D.""]"
5884128,20S,"[""An, X.""]"
5880450,20S,"[""Kim, M.""]"
5883940,20S,"[""No instructors""]"
10588211,20S,"[""Feng, I."",""Evans, C.J.""]"
10584879,20S,"[""Timmermans, S.""]"
5882026,20S,"[""Sanders, B.""]"
5881935,20S,"[""Jang, Y.""]"
5886888,20S,"[""Franke, T.M.""]"
5882271,20S,"[""Lofchie, M.F.""]"
5887519,20S,"[""Kraft, N.J.""]"
5887024,20S,"[""Kleppinger, C.M.""]"
5880249,20S,"[""No instructors""]"
5885046,20S,"[""Greenfield, P.M.""]"
5884280,20S,"[""Bhuskute, N."",""Arisaka, K.""]"
5879600,20S,"[""Ford, J.""]"
5886305,20S,"[""Duan, X.""]"
5879497,20S,"[""Fain, G.L.""]"
5885862,20S,"[""Zes, D.A.""]"
5888496,20S,"[""Valentine, J.S.""]"
5878696,20S,"[""Brungardt, A.S."",""Tarnawska Senel, M""]"
5885953,20S,"[""Brinderson, L.A.""]"
5886268,20S,"[""No instructors""]"
5887110,20S,"[""Galic, Z."",""Zack, J.A.""]"
5881237,20S,"[""Neeman, I.""]"
5879413,20S,"[""Hasson, T.W."",""Razinia, Z.""]"
5881755,20S,"[""Colwell, C.S.""]"
5879307,20S,"[""Xie, Y.""]"
