section_id,enrollment_count,created_at
5878629,0,2020-01-21 00:34:15.420523+00
5878630,0,2020-01-21 00:34:15.430146+00
5878631,0,2020-01-21 00:34:15.575461+00
5878632,0,2020-01-21 00:34:15.709052+00
5878633,0,2020-01-21 00:34:15.745198+00
5878635,0,2020-01-21 00:34:15.745795+00
5878641,0,2020-01-21 00:34:15.823896+00
5878638,0,2020-01-21 00:34:15.824144+00
5878640,0,2020-01-21 00:34:15.825448+00
5878646,0,2020-01-21 00:34:15.867671+00
5878648,0,2020-01-21 00:34:15.868015+00
5878644,0,2020-01-21 00:34:15.868362+00
5878645,0,2020-01-21 00:34:15.869241+00
5878650,0,2020-01-21 00:34:15.875443+00
5878653,0,2020-01-21 00:34:15.88959+00
5878655,0,2020-01-21 00:34:15.927428+00
5878657,0,2020-01-21 00:34:15.938405+00
5878656,0,2020-01-21 00:34:15.942942+00
5878658,0,2020-01-21 00:34:15.945518+00
5878661,0,2020-01-21 00:34:15.951957+00
5878663,0,2020-01-21 00:34:15.965641+00
5878666,0,2020-01-21 00:34:15.992219+00
5878669,0,2020-01-21 00:34:15.993316+00
5878672,0,2020-01-21 00:34:15.999896+00
5878670,0,2020-01-21 00:34:16.001418+00
5878673,0,2020-01-21 00:34:16.003421+00
5878674,0,2020-01-21 00:34:16.005456+00
5878679,0,2020-01-21 00:34:16.006892+00
5878671,0,2020-01-21 00:34:16.007151+00
5878668,0,2020-01-21 00:34:16.009908+00
5878676,0,2020-01-21 00:34:16.016463+00
5878682,0,2020-01-21 00:34:16.016942+00
5878681,0,2020-01-21 00:34:16.017283+00
5878678,0,2020-01-21 00:34:16.017471+00
5878688,0,2020-01-21 00:34:16.025035+00
5878690,0,2020-01-21 00:34:16.025676+00
5878689,0,2020-01-21 00:34:16.026582+00
5878691,0,2020-01-21 00:34:16.030762+00
5878643,0,2020-01-21 00:34:16.04662+00
5878654,0,2020-01-21 00:34:16.066296+00
5878700,0,2020-01-21 00:34:16.068074+00
5878698,0,2020-01-21 00:34:16.068523+00
5878696,0,2020-01-21 00:34:16.069281+00
5878693,0,2020-01-21 00:34:16.069635+00
5878697,0,2020-01-21 00:34:16.07169+00
5878659,0,2020-01-21 00:34:16.072058+00
5878699,0,2020-01-21 00:34:16.072835+00
5878695,0,2020-01-21 00:34:16.073204+00
5878701,0,2020-01-21 00:34:16.086894+00
5878702,0,2020-01-21 00:34:16.109972+00
5878703,0,2020-01-21 00:34:16.111227+00
5878706,0,2020-01-21 00:34:16.127391+00
5878704,0,2020-01-21 00:34:16.12864+00
5878705,0,2020-01-21 00:34:16.130462+00
5878683,0,2020-01-21 00:34:16.14992+00
5878713,0,2020-01-21 00:34:16.151753+00
5878708,0,2020-01-21 00:34:16.153714+00
5878707,0,2020-01-21 00:34:16.161891+00
5878716,0,2020-01-21 00:34:16.164589+00
5878709,0,2020-01-21 00:34:16.164804+00
5878710,0,2020-01-21 00:34:16.165201+00
5878718,0,2020-01-21 00:34:16.182128+00
5878719,0,2020-01-21 00:34:16.18396+00
5878721,0,2020-01-21 00:34:16.207836+00
5878720,0,2020-01-21 00:34:16.209635+00
5878723,0,2020-01-21 00:34:16.236307+00
5878722,0,2020-01-21 00:34:16.237046+00
5878712,0,2020-01-21 00:34:16.273852+00
5878714,0,2020-01-21 00:34:16.274683+00
5878711,0,2020-01-21 00:34:16.288136+00
5878725,0,2020-01-21 00:34:16.289007+00
5878727,0,2020-01-21 00:34:16.290205+00
5878728,0,2020-01-21 00:34:16.309167+00
5878729,0,2020-01-21 00:34:16.325173+00
5878730,0,2020-01-21 00:34:16.343387+00
5878732,0,2020-01-21 00:34:16.343704+00
5878733,0,2020-01-21 00:34:16.344091+00
5878736,0,2020-01-21 00:34:16.353634+00
5878737,0,2020-01-21 00:34:16.378351+00
5878739,0,2020-01-21 00:34:16.385088+00
5878740,0,2020-01-21 00:34:16.393706+00
5878741,0,2020-01-21 00:34:16.403064+00
