id,section_id,enrollment_status,enrollment_count,enrollment_capacity,waitlist_status,waitlist_count,waitlist_capacity,created_at
15820420,10587985,Open,0,66,None,0,0,2020-02-10T00:06:29Z
15833361,10587985,Open,0,66,None,0,0,2020-02-10T01:07:15Z
15842883,10587985,Open,0,66,None,0,0,2020-02-10T02:06:24Z
15855060,10587985,Open,0,66,None,0,0,2020-02-10T03:06:46Z
15866370,10587985,Open,0,66,None,0,0,2020-02-10T04:06:35Z
15877524,10587985,Open,0,66,None,0,0,2020-02-10T05:06:50Z
15888719,10587985,Open,0,66,None,0,0,2020-02-10T05:30:49Z
15900127,10587985,Open,0,66,None,0,0,2020-02-10T06:06:53Z
15911238,10587985,Open,0,66,None,0,0,2020-02-10T07:06:52Z
15922488,10587985,Open,0,66,None,0,0,2020-02-10T08:06:51Z
15933727,10587985,Open,0,66,None,0,0,2020-02-10T09:06:47Z
15945168,10587985,Open,0,66,None,0,0,2020-02-10T10:06:49Z
15956436,10587985,Open,0,66,None,0,0,2020-02-10T11:06:50Z
15967639,10587985,Open,0,66,None,0,0,2020-02-10T12:07:15Z
15978763,10587985,Open,0,66,None,0,0,2020-02-10T13:06:46Z
15990492,10587985,Open,0,66,None,0,0,2020-02-10T14:07:11Z
16001086,10587985,Open,0,66,None,0,0,2020-02-10T15:06:51Z
16012309,10587985,Open,0,66,None,0,0,2020-02-10T16:06:51Z
16023579,10587985,Open,0,66,None,0,0,2020-02-10T17:06:52Z
22715619,10587985,Open,0,66,None,0,0,2020-02-10T18:06:49Z
22727178,10587985,Open,0,66,None,0,0,2020-02-10T19:06:50Z
22736643,10587985,Open,0,66,None,0,0,2020-02-10T20:06:03Z
22749723,10587985,Open,0,66,None,0,0,2020-02-10T21:07:09Z
22760849,10587985,Open,0,66,None,0,0,2020-02-10T22:06:55Z
22771862,10587985,Open,0,66,None,0,0,2020-02-10T23:06:43Z
22783392,10587985,Open,0,66,None,0,0,2020-02-11T00:06:58Z
22794651,10587985,Open,0,66,None,0,0,2020-02-11T01:07:01Z
22805619,10587985,Open,0,66,None,0,0,2020-02-11T02:06:42Z
22817197,10587985,Open,0,66,None,0,0,2020-02-11T03:07:07Z
22828184,10587985,Open,0,66,None,0,0,2020-02-11T04:06:52Z
22839478,10587985,Open,0,66,None,0,0,2020-02-11T05:06:52Z
22849482,10587985,Open,0,66,None,0,0,2020-02-11T06:06:20Z
22861026,10587985,Open,0,66,None,0,0,2020-02-11T07:06:25Z
22873122,10587985,Open,0,66,None,0,0,2020-02-11T08:06:43Z
22884564,10587985,Open,0,66,None,0,0,2020-02-11T09:06:50Z
22895880,10587985,Open,0,66,None,0,0,2020-02-11T10:06:52Z
22907118,10587985,Open,0,66,None,0,0,2020-02-11T11:06:50Z
22915579,10587985,Open,0,66,None,0,0,2020-02-11T12:05:48Z
22929514,10587985,Open,0,66,None,0,0,2020-02-11T13:06:41Z
22940826,10587985,Open,0,66,None,0,0,2020-02-11T14:07:00Z
22952023,10587985,Open,0,66,None,0,0,2020-02-11T15:06:44Z
22963191,10587985,Open,0,66,None,0,0,2020-02-11T16:06:38Z
22974535,10587985,Open,0,66,None,0,0,2020-02-11T17:06:44Z
22985766,10587985,Open,0,66,None,0,0,2020-02-11T18:06:49Z
22996861,10587985,Open,0,66,None,0,0,2020-02-11T19:06:57Z
23005867,10587985,Open,1,66,None,0,0,2020-02-11T20:05:49Z
23019698,10587985,Open,1,66,None,0,0,2020-02-11T21:07:04Z
23030760,10587985,Open,1,66,None,0,0,2020-02-11T22:06:57Z
23041047,10587985,Open,1,66,None,0,0,2020-02-11T23:06:19Z
23053188,10587985,Open,2,66,None,0,0,2020-02-12T00:06:53Z
23065075,10587985,Open,2,66,None,0,0,2020-02-12T01:07:05Z
23075879,10587985,Open,2,66,None,0,0,2020-02-12T02:06:47Z
23087059,10587985,Open,2,66,None,0,0,2020-02-12T03:06:47Z
23095255,10587985,Open,2,66,None,0,0,2020-02-12T04:05:25Z
23109651,10587985,Open,2,66,None,0,0,2020-02-12T05:06:56Z
23120896,10587985,Open,2,66,None,0,0,2020-02-12T06:06:57Z
23132138,10587985,Open,2,66,None,0,0,2020-02-12T07:06:54Z
23143523,10587985,Open,2,66,None,0,0,2020-02-12T08:06:55Z
23154843,10587985,Open,2,66,None,0,0,2020-02-12T09:06:49Z
23166088,10587985,Open,2,66,None,0,0,2020-02-12T10:06:54Z
23177257,10587985,Open,2,66,None,0,0,2020-02-12T11:07:01Z
23188493,10587985,Open,2,66,None,0,0,2020-02-12T12:07:05Z
23199711,10587985,Open,2,66,None,0,0,2020-02-12T13:06:57Z
23211008,10587985,Open,2,66,None,0,0,2020-02-12T14:06:51Z
23222191,10587985,Open,2,66,None,0,0,2020-02-12T15:06:48Z
23233449,10587985,Open,2,66,None,0,0,2020-02-12T16:06:52Z
23244871,10587985,Open,2,66,None,0,0,2020-02-12T17:07:04Z
23256131,10587985,Open,2,66,None,0,0,2020-02-12T18:06:53Z
23267321,10587985,Open,2,66,None,0,0,2020-02-12T19:07:12Z
23278631,10587985,Open,2,66,None,0,0,2020-02-12T20:06:56Z
23289724,10587985,Open,2,66,None,0,0,2020-02-12T21:06:49Z
23301102,10587985,Open,2,66,None,0,0,2020-02-12T22:07:07Z
23312324,10587985,Open,2,66,None,0,0,2020-02-12T23:07:01Z
23323681,10587985,Open,2,66,None,0,0,2020-02-13T00:07:04Z
23334691,10587985,Open,2,66,None,0,0,2020-02-13T01:06:58Z
23346331,10587985,Open,2,66,None,0,0,2020-02-13T02:06:58Z
23357600,10587985,Open,2,66,None,0,0,2020-02-13T03:06:53Z
23369162,10587985,Open,2,66,None,0,0,2020-02-13T04:07:14Z
23380198,10587985,Open,2,66,None,0,0,2020-02-13T05:07:09Z
23391676,10587985,Open,2,66,None,0,0,2020-02-13T06:06:56Z
23403041,10587985,Open,2,66,None,0,0,2020-02-13T07:07:13Z
23414105,10587985,Open,2,66,None,0,0,2020-02-13T08:07:07Z
23425443,10587985,Open,2,66,None,0,0,2020-02-13T09:06:50Z
23436866,10587985,Open,2,66,None,0,0,2020-02-13T10:07:15Z
23448277,10587985,Open,2,66,None,0,0,2020-02-13T11:07:07Z
23459663,10587985,Open,2,66,None,0,0,2020-02-13T12:07:17Z
23470748,10587985,Open,2,66,None,0,0,2020-02-13T13:07:08Z
23482098,10587985,Open,2,66,None,0,0,2020-02-13T14:07:06Z
23492592,10587985,Open,2,66,None,0,0,2020-02-13T15:06:29Z
23504950,10587985,Open,2,66,None,0,0,2020-02-13T16:07:12Z
23516341,10587985,Open,2,60,Open,0,6,2020-02-13T17:07:12Z
23527784,10587985,Open,2,60,Open,0,6,2020-02-13T18:07:08Z
23538847,10587985,Open,17,60,Open,0,6,2020-02-13T19:06:59Z
