id,section_id,days,times,locations,instructors,term,title,number,code,name
2519,221086200,{TR},{9:30am-10:45am},"{""Dodd Hall 170""}","{""Subrahmanyam, S.""}",20W,"World History, circa 600 to 1760",21,HIST,History
1430,121671201,{MW},{12:30pm-1:45pm},"{""Haines Hall A28""}","{""Fong, K.N.""}",20W,Social Science Research Methods,103,ASIA AM,Asian American Studies
3536219,221855213,{Varies},"{""""}","{""""}","{""Von Glahn, R.""}",20W,Honors Research in History,198C,HIST,History
4475,194750003,{Varies},"{""""}","{""""}","{""Holten, C.""}",20W,Apprenticeship in Composition Tutoring,175,ENGCOMP,English Composition
51,328888203,{Varies},"{""""}","{""""}","{""Brannon, T.N.""}",20W,Honors Research in Psychology,198,PSYCH,Psychology
1042,187444200,{MW},{12pm-1:50pm},"{""Engineering VI Mong Learning Center""}","{""Halperin, E.""}",20W,Machine Learning Applications in Genetics,CM124,COM SCI,Computer Science
4678,263313230,{MWF},{3pm-3:50pm},"{""Franz Hall 1260""}","{""Wu, G.""}",20W,Introduction to Computational Statistics with R,102A,STATS,Statistics
3227,756776200,{M},{11am-1:50pm},"{""Macgowan Hall 2310C""}","{""Kim, S.""}",20W,Practicum and Practice in Teaching Theater,495A,THEATER,Theater
4455,650168200,{TR},{8am-9:50am},"{""Off campus""}","{""Hsu, W."",""Sayre, J.""}",20W,Medical Decision Making,M228,BIOENGR,Bioengineering
3347454,145890204,{Varies},"{""""}","{""""}","{""Hoffmann, A.""}",20W,"Honors Research in Microbiology, Immunology, and Molecular Genetics",198C,MIMG,"Microbiology, Immunology, and Molecular Genetics"
3643418,221853202,{Varies},"{""""}","{""""}","{""Subrahmanyam, S.""}",20W,Honors Research in History,198A,HIST,History
1071,844323201,{MW},{9am-10:50am},"{""Public Health, School of 51279""}","{""Carpenter, C.L.""}",20W,Nutritional Epidemiology I,M254,EPIDEM,Epidemiology
2290,349010202,{MW},{9:30am-10:45am},"{""Public Affairs Building 1284""}","{""Nafarrate Errasti,"",""Tobin, S.C.""}",20W,Elementary Spanish,3,SPAN,Spanish
1910,411618200,"{M,W}","{3:30pm-4:45pm,8:30am-9:45am}","{""Geology Building 4677"",""Geology Building 4677""}","{""Mitchell, J.L.""}",20W,Oceans and Atmospheres,153,EPS SCI,"Earth, Planetary, and Space Sciences"
5884463,402600201,{W},{3pm-5:50pm},"{""Rolfe Hall 2118""}","{""Cho, S.""}",20S,Advanced Topics in Digital Humanities: Seminar 2  ,150,DGT HUM,Digital Humanities
5878927,880915101,"{""Not scheduled""}","{""""}","{""""}","{""Reynolds, J.L.""}",20S,Law and Economics: Economic Analysis of Law,915,LAW,Law
5880867,152846201,{R},{2pm-4:50pm},"{""Haines Hall A24""}","{""Bosch, S.F.""}",20S,"Variable Topics in Comparative Literature: World, Form, Power",191,COM LIT,Comparative Literature
5886605,143062209,{M},{12pm-2:50pm},"{""De Neve Plaza Commons Building P349""}","{""Mayorga, O.J."",""Ortiz, V.""}",20S,Interracial Dynamics in American Culture and Society: Special Topics: Political Economy of White Supremacy Ideology,20CW,CLUSTER,Clusters
