subject_area,subj_code,title,number,section_ids
English,ENGL,"19th-Century Critical Prose: Women's Writing about Politics, Society, and Art in 19th-Century Britain",164B,{5883301}
English,ENGL,19th-Century Novel: Aestheticism and 19th-Century Novel,164C,{1975}
Law,LAW,1st Amendment Amicus Brief Clinic,724,{5885471}
French,FRNCH,20th Century,220,{5879565}
History,HIST,20th-Century China,170D,{5879473}
Chicana and Chicano Studies,CHICANO,20th Century El Salvador: Lucha for Egalitarian Society,88S,{10589252}
German,GERMAN,20th-Century German Philosophy,116,{4165}
Russian,RUSSN,"20th-Century Russian Literature, 1930 to 1989",213B,{3027}
Law,LAW,"8th Amendment, Cruel & Unusual Punishment",668,{5882256}
Psychology,PSYCH,Abnormal Psychology,127A,"{2769,5888433}"
Psychology,PSYCH,Abnormal Psychology: Developmental Perspectives,127C,{5881856}
English Composition,ENGCOMP,Academic Professionalization Colloquium,499,"{5886882,5886848}"
Electrical and Computer Engineering,EC ENGR,Academic Technical Writing for Electrical Engineers,295,{3389}
Iranian,IRANIAN,Accelerated Elementary Persian,20B,"{1819,2156}"
Iranian,IRANIAN,Accelerated Elementary Persian,20C,{5881734}
Law,LAW,Accounting and Financial Skills for Lawyers,434,{5882057}
Management-PhD,MGMTPHD,Accounting Workshop,202B,{338}
Management-PhD,MGMTPHD,Accounting Workshop,202C,{5884434}
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for First-Generation Students,10E,"{5881061,5881083,5881127}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Freshmen,10A,"{4003,3943}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Transfers,10D,"{3231,1351,5883113,5883014,5883033,1639,1136}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Life Science Students,10C,"{1684,1683}"
Physics,PHYSICS,Acoustics Laboratory,180D,"{5175,5885238}"
Theater,THEATER,Acting and Performance in Film,120B,{4321}
Theater,THEATER,Acting and Performance in Film,120C,{5887418}
Theater,THEATER,Acting Classical Texts,126B,"{5881244,3539}"
Theater,THEATER,Acting for Microphone,124D,"{4941,4382}"
Theater,THEATER,Acting Fundamentals,20,"{5886146,5886224,1906,5886067,5885973,230,2624,2516,5886202,2015,793,5886212,5886099,5886007}"
Theater,THEATER,Acting Shakespeare,126A,{4598}
Theater,THEATER,Acting Workshop,121,{4840}
World Arts and Cultures,WL ARTS,Active Passivity: Self-Awareness for Social Change,19,{1929}
Chicana and Chicano Studies,CHICANO,Activist Scholarship and Intersectional Methodologies Seminar,201,{10588807}
Film and Television,FILM TV,Adaptation for Screen,437,{4042}
Law,LAW,Administrative Law,216,{5882250}
Psychology,PSYCH,Adolescent Development,133A,{2124}
Nursing,NURSING,Adult/Gerontology Acute Advanced Assessment and Clinical Diagnosis II,444,"{4397,3704,5067,3644}"
Nursing,NURSING,Adult/Gerontology Acute Care Nurse Practitioner Practicum I,416A,"{4857,3398,4507,5002,4667}"
Nursing,NURSING,Adult/Gerontology Acute Care Nurse Practitioner Practicum IV,416D,"{2872,756,1318,3362,3144}"
Nursing,NURSING,Adult/Gerontology Concepts for Advanced Practice Registered Nurses in Acute Care I,216A,{1328}
Nursing,NURSING,Adult/Gerontology Concepts for Advanced Practice Registered Nurses in Acute Care II,216B,{5885242}
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum I,439A,"{3551,3593}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum II,439B,"{5879685,5879726}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum IV,439D,"{1548,1662}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum V,439E,"{5882911,5882888}"
Nursing,NURSING,Adult/Gerontology Primary Healthcare for Advanced Practice Registered Nurses I,239A,{2446}
Nursing,NURSING,Adult/Gerontology Primary Healthcare for Advanced Practice Registered Nurses II,239B,{5883343}
Management,MGMT,Advanced Accounting,124,{5881137}
